,Ch_1,Ch_2,Ch_3,Ch_4,Ch_5,Ch_6,Ch_7,Ch_8,Ch_9,Ch_10,Du_1,Du_2,Du_3,Du_4,Du_5,Du_6,Du_7,Du_8,Du_9,Du_10,En_1,En_2,En_3,En_4,En_5,En_6,En_7,En_8,En_9,En_10,Fi_1,Fi_2,Fi_3,Fi_4,Fi_5,Fi_6,Fi_7,Fi_8,Fi_9,Fi_10,Fr_1,Fr_2,Fr_3,Fr_4,Fr_5,Fr_6,Fr_7,Fr_8,Fr_9,Fr_10,It_1,It_2,It_3,It_4,It_5,It_6,It_7,It_8,It_9,It_10,Po_1,Po_2,Po_3,Po_4,Po_5,Po_6,Po_7,Po_8,Po_9,Po_10,Sp_1,Sp_2,Sp_3,Sp_4,Sp_5,Sp_6,Sp_7,Sp_8,Sp_9,Sp_10
O1,258,572,827,1129,1405,1642,1906,2138,2397,2657,116,225,339,459,572,690,816,919,1022,1157,366,813,1218,1640,2045,2468,2895,3356,3765,4184,276,547,820,1114,1386,1700,1944,2230,2512,2808,148,264,383,514,630,771,913,1041,1156,1268,422,852,1254,1745,2168,2654,3114,3559,4019,4456,427,854,1259,1659,2090,2522,2904,3327,3749,4143,489,911,1320,1768,2262,2712,3178,3639,4089,4551
O2,354,685,1080,1435,1802,2186,2591,2937,3335,3705,297,556,810,1092,1331,1592,1832,2051,2289,2542,871,1760,2577,3497,4409,5298,6160,7094,8016,8947,498,970,1505,2039,2503,3027,3521,3982,4456,4897,341,662,1033,1336,1672,2005,2314,2671,2950,3264,1451,2956,4434,5978,7551,9082,10571,12096,13644,15138,860,1761,2752,3644,4573,5492,6406,7357,8253,9209,240,487,755,998,1252,1475,1725,1989,2250,2499
O3,117,202,292,372,486,593,697,787,896,990,65,117,165,214,261,301,351,400,441,495,110,233,357,443,553,655,758,887,1003,1133,67,140,204,276,327,412,480,541,606,669,46,102,154,212,271,321,360,406,460,518,134,233,359,482,618,725,851,1010,1108,1232,58,146,216,283,370,436,525,598,681,767,85,147,216,290,361,426,506,584,655,738
O4,419,863,1269,1642,2068,2530,2965,3367,3802,4250,1429,2817,4218,5490,6841,8155,9452,10759,12078,13331,1029,2024,3132,4151,5057,6068,7007,7940,8976,10015,776,1579,2275,3079,3835,4625,5379,6128,6863,7721,391,781,1184,1562,1931,2295,2659,3035,3414,3799,1320,2645,3965,5335,6632,8011,9283,10612,11962,13286,636,1261,1896,2514,3102,3747,4395,4988,5612,6198,584,1149,1722,2300,2874,3416,3980,4482,5012,5588
P1,973,1787,2720,3657,4604,5475,6419,7370,8313,9150,246,517,815,1170,1473,1785,2104,2424,2734,3053,1196,2415,3626,4835,6000,7246,8392,9562,10696,11903,496,930,1410,1855,2296,2731,3203,3679,4156,4600,365,739,1121,1514,1912,2309,2685,3093,3466,3871,462,970,1403,1820,2263,2678,3134,3557,3903,4305,1176,2276,3435,4519,5708,6849,8046,9143,10297,11473,534,1044,1539,2092,2582,3173,3677,4206,4807,5320
Q1,624,1318,1961,2606,3313,3981,4627,5234,5899,6566,526,1058,1618,2176,2715,3263,3781,4302,4831,5390,1292,2540,3783,5073,6320,7575,8850,10111,11339,12654,627,1282,1952,2557,3221,3818,4438,5070,5743,6365,725,1451,2128,2785,3472,4133,4787,5466,6105,6727,1085,2140,3217,4241,5287,6342,7362,8407,9425,10456,1016,1989,2929,3923,4971,5914,6906,7974,9040,10029,1176,2279,3436,4542,5564,6666,7801,8961,10091,11179
Q2,714,1479,2227,2968,3707,4492,5203,5905,6673,7381,1571,3181,4806,6435,7985,9643,11341,13000,14656,16276,2680,5475,8181,10760,13441,16171,18887,21580,24373,26925,1318,2665,4049,5370,6716,8057,9459,10883,12251,13621,1367,2840,4234,5692,7103,8540,10035,11424,12846,14251,2148,4270,6276,8316,10361,12368,14357,16379,18342,20417,1732,3517,5205,6983,8773,10538,12195,13935,15591,17390,665,1377,2065,2714,3382,4087,4723,5400,6045,6700
Q3,54,127,188,239,285,345,407,456,535,609,188,369,565,732,899,1068,1251,1428,1618,1797,340,630,969,1274,1539,1898,2200,2543,2858,3155,144,284,409,536,671,784,900,1050,1193,1330,204,389,587,765,957,1138,1326,1500,1689,1859,386,752,1147,1529,1906,2281,2641,3010,3357,3748,387,715,1084,1464,1859,2199,2562,2928,3304,3681,462,873,1345,1788,2245,2677,3118,3595,4044,4469
Q4,232,472,737,1007,1223,1455,1731,2009,2277,2528,246,478,731,981,1208,1455,1684,1951,2198,2428,635,1294,1977,2523,3133,3780,4432,5071,5728,6346,374,729,1085,1447,1846,2201,2602,3001,3400,3795,351,724,1122,1479,1846,2242,2604,2976,3341,3675,512,1070,1569,2092,2607,3138,3688,4238,4758,5331,468,946,1485,2033,2489,3050,3610,4098,4559,5089,345,658,1036,1359,1716,2062,2421,2795,3116,3441
S1,321,651,977,1335,1638,1957,2251,2597,2916,3252,560,1083,1611,2140,2685,3208,3693,4205,4744,5302,1340,2604,3821,5146,6447,7764,9048,10372,11655,12939,607,1210,1820,2435,3035,3624,4245,4861,5499,6134,677,1343,2013,2733,3398,4081,4778,5410,6102,6801,1073,2205,3337,4415,5489,6572,7689,8789,9874,10953,801,1600,2490,3325,4140,4920,5762,6592,7437,8222,1227,2497,3704,4882,6130,7317,8547,9762,11020,12259
